날짜,업종,수요량(MJ),기온(°C),조업여부,요일
2024-05-25,철강·금속,1389.0,31.9,휴무,토
2024-05-26,철강·금속,1499.4,24.4,휴무,일
2024-05-27,철강·금속,4888.1,27.3,조업,월
2024-05-28,철강·금속,4607.4,26.0,조업,화
2024-05-29,철강·금속,5032.0,27.1,조업,수
2024-05-30,철강·금속,4764.3,26.6,조업,목
2024-05-31,철강·금속,5014.7,30.7,조업,금
2024-06-01,철강·금속,1411.6,34.9,휴무,토
2024-06-02,철강·금속,1319.7,31.2,휴무,일
2024-06-03,철강·금속,4339.7,33.1,조업,월
2024-06-04,철강·금속,4546.3,33.3,조업,화
2024-06-05,철강·금속,4653.8,32.7,조업,수
2024-06-06,철강·금속,4439.7,32.6,조업,목
2024-06-07,철강·금속,4735.3,33.6,조업,금
2024-06-08,철강·금속,1304.8,36.2,휴무,토
2024-06-09,철강·금속,1380.8,30.5,휴무,일
2024-06-10,철강·금속,4657.4,32.9,조업,월
2024-06-11,철강·금속,4595.5,31.5,조업,화
2024-06-12,철강·금속,4653.1,31.5,조업,수
2024-06-13,철강·금속,4521.5,32.8,조업,목
2024-06-14,철강·금속,4164.7,35.3,조업,금
2024-06-15,철강·금속,1343.9,35.8,휴무,토
2024-06-16,철강·금속,1494.4,35.5,휴무,일
2024-06-17,철강·금속,4493.5,33.9,조업,월
2024-06-18,철강·금속,4629.4,33.5,조업,화
2024-06-19,철강·금속,4261.0,29.9,조업,수
2024-06-20,철강·금속,4553.6,30.9,조업,목
2024-06-21,철강·금속,4472.6,30.7,조업,금
2024-06-22,철강·금속,1272.0,35.9,휴무,토
2024-06-23,철강·금속,1527.8,31.2,휴무,일
2024-06-24,철강·금속,4629.7,32.5,조업,월
2024-06-25,철강·금속,4427.4,31.4,조업,화
2024-06-26,철강·금속,4338.2,32.4,조업,수
2024-06-27,철강·금속,4706.9,33.9,조업,목
2024-06-28,철강·금속,4400.0,30.4,조업,금
2024-06-29,철강·금속,1363.3,33.2,휴무,토
2024-06-30,철강·금속,1334.6,30.7,휴무,일
2024-07-01,철강·금속,4035.2,35.8,조업,월
2024-07-02,철강·금속,4418.6,35.0,조업,화
2024-07-03,철강·금속,4142.3,35.0,조업,수
2024-07-04,철강·금속,3913.3,34.4,조업,목
2024-07-05,철강·금속,4200.6,34.6,조업,금
2024-07-06,철강·금속,1294.5,33.3,휴무,토
2024-07-07,철강·금속,1311.1,34.9,휴무,일
2024-07-08,철강·금속,4037.4,34.5,조업,월
2024-07-09,철강·금속,4110.6,31.3,조업,화
2024-07-10,철강·금속,4175.3,35.9,조업,수
2024-07-11,철강·금속,4560.8,32.7,조업,목
2024-07-12,철강·금속,4510.6,33.2,조업,금
2024-07-13,철강·금속,1239.2,33.6,휴무,토
2024-07-14,철강·금속,1343.4,33.3,휴무,일
2024-07-15,철강·금속,4036.1,31.2,조업,월
2024-07-16,철강·금속,4195.4,33.3,조업,화
2024-07-17,철강·금속,4433.4,34.6,조업,수
2024-07-18,철강·금속,4017.8,35.8,조업,목
2024-07-19,철강·금속,4181.9,37.0,조업,금
2024-07-20,철강·금속,1260.3,37.2,휴무,토
2024-07-21,철강·금속,1324.4,37.0,휴무,일
2024-07-22,철강·금속,4182.3,35.4,조업,월
2024-07-23,철강·금속,4136.0,33.7,조업,화
2024-07-24,철강·금속,4318.9,31.3,조업,수
2024-07-25,철강·금속,4428.3,32.7,조업,목
2024-07-26,철강·금속,4281.9,37.7,조업,금
2024-07-27,철강·금속,1228.1,34.3,휴무,토
2024-07-28,철강·금속,1346.1,36.9,휴무,일
2024-07-29,철강·금속,4464.8,32.7,조업,월
2024-07-30,철강·금속,3783.9,39.2,조업,화
2024-07-31,철강·금속,4550.0,35.5,조업,수
2024-08-01,철강·금속,4611.1,30.7,조업,목
2024-08-02,철강·금속,4644.4,33.4,조업,금
2024-08-03,철강·금속,1302.3,35.5,휴무,토
2024-08-04,철강·금속,1226.1,29.5,휴무,일
2024-08-05,철강·금속,4446.2,34.8,조업,월
2024-08-06,철강·금속,4602.1,33.7,조업,화
2024-08-07,철강·금속,4084.4,31.8,조업,수
2024-08-08,철강·금속,4471.7,32.6,조업,목
2024-08-09,철강·금속,4507.9,31.1,조업,금
2024-08-10,철강·금속,1363.9,30.9,휴무,토
2024-08-11,철강·금속,1356.5,34.0,휴무,일
2024-08-12,철강·금속,4451.8,32.9,조업,월
2024-08-13,철강·금속,4071.5,32.1,조업,화
2024-08-14,철강·금속,4722.4,32.1,조업,수
2024-08-15,철강·금속,4481.4,30.8,조업,목
2024-08-16,철강·금속,4431.1,28.0,조업,금
2024-08-17,철강·금속,1369.6,32.0,휴무,토
2024-08-18,철강·금속,1381.1,31.2,휴무,일
2024-08-19,철강·금속,4682.6,34.5,조업,월
2024-08-20,철강·금속,4703.4,32.1,조업,화
2024-08-21,철강·금속,4230.4,33.7,조업,수
2024-08-22,철강·금속,4374.9,34.6,조업,목
2024-08-23,철강·금속,4663.5,33.1,조업,금
2024-08-24,철강·금속,1340.7,31.6,휴무,토
2024-08-25,철강·금속,1432.1,32.1,휴무,일
2024-08-26,철강·금속,4383.2,32.4,조업,월
2024-08-27,철강·금속,4904.7,30.7,조업,화
2024-08-28,철강·금속,4657.0,31.8,조업,수
2024-08-29,철강·금속,4277.0,34.8,조업,목
2024-08-30,철강·금속,4731.8,32.2,조업,금
2024-08-31,철강·금속,1319.9,33.9,휴무,토
2024-09-01,철강·금속,1528.1,32.2,휴무,일
2024-09-02,철강·금속,5237.7,27.2,조업,월
2024-09-03,철강·금속,4923.1,27.8,조업,화
2024-09-04,철강·금속,5279.1,26.2,조업,수
2024-09-05,철강·금속,4962.2,28.2,조업,목
2024-09-06,철강·금속,5035.1,28.0,조업,금
2024-09-07,철강·금속,1554.5,26.7,휴무,토
2024-09-08,철강·금속,1429.0,32.3,휴무,일
2024-09-09,철강·금속,4973.7,26.8,조업,월
2024-09-10,철강·금속,4881.0,32.2,조업,화
2024-09-11,철강·금속,5184.1,23.2,조업,수
2024-09-12,철강·금속,4952.2,26.5,조업,목
2024-09-13,철강·금속,5046.7,25.2,조업,금
2024-09-14,철강·금속,1482.0,26.9,휴무,토
2024-09-15,철강·금속,1571.0,24.5,휴무,일
2024-09-16,철강·금속,4979.9,25.4,조업,월
2024-09-17,철강·금속,4791.0,26.1,조업,화
2024-09-18,철강·금속,4687.7,26.8,조업,수
2024-09-19,철강·금속,5212.8,25.5,조업,목
2024-09-20,철강·금속,5174.5,32.1,조업,금
2024-09-21,철강·금속,1519.6,29.1,휴무,토
2024-09-22,철강·금속,1478.3,26.8,휴무,일
2024-09-23,철강·금속,5259.2,23.9,조업,월
2024-09-24,철강·금속,4925.0,30.2,조업,화
2024-09-25,철강·금속,4416.7,28.0,조업,수
2024-09-26,철강·금속,4919.4,26.5,조업,목
2024-09-27,철강·금속,4722.5,24.9,조업,금
2024-09-28,철강·금속,1488.9,27.8,휴무,토
2024-09-29,철강·금속,1589.8,29.1,휴무,일
2024-09-30,철강·금속,4901.6,30.0,조업,월
2024-10-01,철강·금속,5350.1,22.8,조업,화
2024-10-02,철강·금속,5349.2,21.3,조업,수
2024-10-03,철강·금속,4911.7,21.0,조업,목
2024-10-04,철강·금속,5488.0,21.4,조업,금
2024-10-05,철강·금속,1722.7,24.2,휴무,토
2024-10-06,철강·금속,1695.4,20.2,휴무,일
2024-10-07,철강·금속,5347.3,21.8,조업,월
2024-10-08,철강·금속,5563.9,21.7,조업,화
2024-10-09,철강·금속,5784.1,18.9,조업,수
2024-10-10,철강·금속,5500.2,20.0,조업,목
2024-10-11,철강·금속,5335.0,18.1,조업,금
2024-10-12,철강·금속,1643.9,20.8,휴무,토
2024-10-13,철강·금속,1749.9,24.1,휴무,일
2024-10-14,철강·금속,5302.1,17.6,조업,월
2024-10-15,철강·금속,5519.4,20.8,조업,화
2024-10-16,철강·금속,5309.8,20.1,조업,수
2024-10-17,철강·금속,5285.6,21.9,조업,목
2024-10-18,철강·금속,5601.5,20.6,조업,금
2024-10-19,철강·금속,1704.8,20.4,휴무,토
2024-10-20,철강·금속,1628.0,18.3,휴무,일
2024-10-21,철강·금속,5443.1,21.6,조업,월
2024-10-22,철강·금속,5431.3,22.1,조업,화
2024-10-23,철강·금속,5713.7,21.1,조업,수
2024-10-24,철강·금속,5790.5,21.0,조업,목
2024-10-25,철강·금속,5404.2,18.9,조업,금
2024-10-26,철강·금속,1617.0,19.7,휴무,토
2024-10-27,철강·금속,1597.8,14.0,휴무,일
2024-10-28,철강·금속,5328.8,16.8,조업,월
2024-10-29,철강·금속,5392.6,20.7,조업,화
2024-10-30,철강·금속,5580.1,17.6,조업,수
2024-10-31,철강·금속,5728.1,18.3,조업,목
2024-11-01,철강·금속,6058.8,13.1,조업,금
2024-11-02,철강·금속,1806.0,11.6,휴무,토
2024-11-03,철강·금속,1768.0,13.6,휴무,일
2024-11-04,철강·금속,6207.8,13.6,조업,월
2024-11-05,철강·금속,5916.7,13.8,조업,화
2024-11-06,철강·금속,6015.7,12.6,조업,수
2024-11-07,철강·금속,6473.1,13.6,조업,목
2024-11-08,철강·금속,5845.9,11.3,조업,금
2024-11-09,철강·금속,1848.9,12.8,휴무,토
2024-11-10,철강·금속,1898.3,12.3,휴무,일
2024-11-11,철강·금속,5902.4,10.6,조업,월
2024-11-12,철강·금속,6041.9,10.9,조업,화
2024-11-13,철강·금속,5910.8,14.3,조업,수
2024-11-14,철강·금속,6119.5,9.3,조업,목
2024-11-15,철강·금속,5901.6,13.8,조업,금
2024-11-16,철강·금속,1761.8,9.7,휴무,토
2024-11-17,철강·금속,1874.5,9.4,휴무,일
2024-11-18,철강·금속,6075.9,12.8,조업,월
2024-11-19,철강·금속,6266.2,16.3,조업,화
2024-11-20,철강·금속,5545.1,13.9,조업,수
2024-11-21,철강·금속,6409.8,11.8,조업,목
2024-11-22,철강·금속,5915.2,14.3,조업,금
2024-11-23,철강·금속,1731.7,14.3,휴무,토
2024-11-24,철강·금속,1780.6,12.8,휴무,일
2024-11-25,철강·금속,6094.3,12.6,조업,월
2024-11-26,철강·금속,5856.3,11.6,조업,화
2024-11-27,철강·금속,5971.2,16.9,조업,수
2024-11-28,철강·금속,5827.0,13.5,조업,목
2024-11-29,철강·금속,6085.7,10.6,조업,금
2024-11-30,철강·금속,1774.6,13.3,휴무,토
2024-12-01,철강·금속,1960.5,5.8,휴무,일
2024-12-02,철강·금속,6364.4,6.7,조업,월
2024-12-03,철강·금속,6552.4,8.3,조업,화
2024-12-04,철강·금속,6808.7,6.4,조업,수
2024-12-05,철강·금속,6750.8,6.7,조업,목
2024-12-06,철강·금속,6876.5,8.9,조업,금
2024-12-07,철강·금속,2053.1,8.7,휴무,토
2024-12-08,철강·금속,2009.3,10.0,휴무,일
2024-12-09,철강·금속,6836.9,9.8,조업,월
2024-12-10,철강·금속,6389.0,4.5,조업,화
2024-12-11,철강·금속,6802.4,5.7,조업,수
2024-12-12,철강·금속,6413.1,4.0,조업,목
2024-12-13,철강·금속,6460.1,3.9,조업,금
2024-12-14,철강·금속,2020.9,6.7,휴무,토
2024-12-15,철강·금속,2034.8,7.2,휴무,일
2024-12-16,철강·금속,6895.8,9.4,조업,월
2024-12-17,철강·금속,6824.1,5.6,조업,화
2024-12-18,철강·금속,6803.6,4.2,조업,수
2024-12-19,철강·금속,7161.3,7.4,조업,목
2024-12-20,철강·금속,6631.0,6.0,조업,금
2024-12-21,철강·금속,2008.5,5.9,휴무,토
2024-12-22,철강·금속,1990.4,6.5,휴무,일
2024-12-23,철강·금속,6144.6,4.4,조업,월
2024-12-24,철강·금속,6694.6,4.5,조업,화
2024-12-25,철강·금속,6485.0,8.3,조업,수
2024-12-26,철강·금속,6455.9,6.3,조업,목
2024-12-27,철강·금속,7150.0,10.2,조업,금
2024-12-28,철강·금속,2080.7,7.3,휴무,토
2024-12-29,철강·금속,1996.8,7.6,휴무,일
2024-12-30,철강·금속,6839.6,6.4,조업,월
2024-12-31,철강·금속,7101.5,5.7,조업,화
2023-01-01,화학·석유,4064.1,5.4,휴무,일
2023-01-02,화학·석유,13101.8,7.9,조업,월
2023-01-03,화학·석유,12944.5,9.2,조업,화
2023-01-04,화학·석유,12990.5,4.5,조업,수
2023-01-05,화학·석유,13405.9,5.2,조업,목
2023-01-06,화학·석유,13701.1,5.8,조업,금
2023-01-07,화학·석유,4079.4,5.7,휴무,토
2023-01-08,화학·석유,3898.9,3.6,휴무,일
2023-01-09,화학·석유,12621.3,2.6,조업,월
2023-01-10,화학·석유,14091.4,4.4,조업,화
2023-01-11,화학·석유,14202.5,4.0,조업,수
2023-01-12,화학·석유,12597.6,3.4,조업,목
2023-01-13,화학·석유,13610.5,5.5,조업,금
2023-01-14,화학·석유,4178.8,6.4,휴무,토
2023-01-15,화학·석유,3807.2,2.8,휴무,일
2023-01-16,화학·석유,13334.9,5.9,조업,월
2023-01-17,화학·석유,13858.4,9.6,조업,화
2023-01-18,화학·석유,13324.7,6.4,조업,수
2023-01-19,화학·석유,14266.4,6.1,조업,목
2023-01-20,화학·석유,12986.6,6.3,조업,금
2023-01-21,화학·석유,4312.9,6.4,휴무,토
2023-01-22,화학·석유,4262.6,3.8,휴무,일
2023-01-23,화학·석유,13422.5,5.1,조업,월
2023-01-24,화학·석유,13353.0,4.1,조업,화
2023-01-25,화학·석유,12945.1,5.4,조업,수
2023-01-26,화학·석유,13396.8,9.8,조업,목
2023-01-27,화학·석유,13035.0,7.1,조업,금
2023-01-28,화학·석유,4097.9,3.3,휴무,토
2023-01-29,화학·석유,3837.4,5.0,휴무,일
2023-01-30,화학·석유,12965.1,3.9,조업,월
2023-01-31,화학·석유,13583.8,4.6,조업,화
2023-02-01,화학·석유,12517.1,5.9,조업,수
2023-02-02,화학·석유,12245.1,8.6,조업,목
2023-02-03,화학·석유,12080.3,3.7,조업,금
2023-02-04,화학·석유,4003.1,9.8,휴무,토
2023-02-05,화학·석유,3763.5,4.4,휴무,일
2023-02-06,화학·석유,12100.0,7.1,조업,월
2023-02-07,화학·석유,12265.0,2.3,조업,화
2023-02-08,화학·석유,11975.4,8.9,조업,수
2023-02-09,화학·석유,12404.2,7.9,조업,목
2023-02-10,화학·석유,12851.0,7.4,조업,금
2023-02-11,화학·석유,3576.0,6.3,휴무,토
2023-02-12,화학·석유,3670.9,6.9,휴무,일
2023-02-13,화학·석유,11169.1,2.3,조업,월
2023-02-14,화학·석유,11430.3,5.2,조업,화
2023-02-15,화학·석유,12027.0,5.2,조업,수
2023-02-16,화학·석유,12626.3,7.6,조업,목
2023-02-17,화학·석유,12139.5,6.2,조업,금
2023-02-18,화학·석유,3917.8,7.0,휴무,토
2023-02-19,화학·석유,3816.1,8.0,휴무,일
2023-02-20,화학·석유,12437.5,10.5,조업,월
2023-02-21,화학·석유,12192.4,3.2,조업,화
2023-02-22,화학·석유,12094.7,4.3,조업,수
2023-02-23,화학·석유,11940.1,7.4,조업,목
2023-02-24,화학·석유,12754.4,5.1,조업,금
2023-02-25,화학·석유,3850.4,6.3,휴무,토
2023-02-26,화학·석유,3354.5,4.9,휴무,일
2023-02-27,화학·석유,12505.0,5.0,조업,월
2023-02-28,화학·석유,12731.4,9.8,조업,화
2023-03-01,화학·석유,10897.1,15.6,조업,수
2023-03-02,화학·석유,10257.8,12.1,조업,목
2023-03-03,화학·석유,10225.2,12.2,조업,금
2023-03-04,화학·석유,3106.8,9.4,휴무,토
2023-03-05,화학·석유,3022.8,13.9,휴무,일
2023-03-06,화학·석유,10770.5,14.3,조업,월
2023-03-07,화학·석유,10167.4,12.8,조업,화
2023-03-08,화학·석유,10492.3,14.3,조업,수
2023-03-09,화학·석유,9787.4,14.8,조업,목
2023-03-10,화학·석유,10302.4,11.7,조업,금
2023-03-11,화학·석유,3101.4,14.0,휴무,토
2023-03-12,화학·석유,3277.7,12.1,휴무,일
2023-03-13,화학·석유,11201.6,9.1,조업,월
2023-03-14,화학·석유,10291.0,12.5,조업,화
2023-03-15,화학·석유,9937.1,16.0,조업,수
2023-03-16,화학·석유,10813.5,11.0,조업,목
2023-03-17,화학·석유,10367.8,12.9,조업,금
2023-03-18,화학·석유,3120.3,13.1,휴무,토
2023-03-19,화학·석유,3116.6,13.4,휴무,일
2023-03-20,화학·석유,10604.1,16.9,조업,월
2023-03-21,화학·석유,10435.0,11.6,조업,화
2023-03-22,화학·석유,11165.6,13.8,조업,수
2023-03-23,화학·석유,10527.3,14.3,조업,목
2023-03-24,화학·석유,9879.2,12.1,조업,금
2023-03-25,화학·석유,3325.0,14.9,휴무,토
2023-03-26,화학·석유,3356.2,12.2,휴무,일
2023-03-27,화학·석유,10403.2,13.1,조업,월
2023-03-28,화학·석유,10253.1,12.3,조업,화
2023-03-29,화학·석유,10623.2,15.7,조업,수
2023-03-30,화학·석유,10979.6,15.2,조업,목
2023-03-31,화학·석유,10169.6,12.4,조업,금
2023-04-01,화학·석유,2994.1,18.8,휴무,토
2023-04-02,화학·석유,2753.0,20.8,휴무,일
2023-04-03,화학·석유,9770.3,21.5,조업,월
2023-04-04,화학·석유,10031.8,18.7,조업,화
2023-04-05,화학·석유,9704.1,19.3,조업,수
2023-04-06,화학·석유,9510.6,21.8,조업,목
2023-04-07,화학·석유,9559.8,20.8,조업,금
2023-04-08,화학·석유,2772.5,19.8,휴무,토
2023-04-09,화학·석유,2977.7,20.2,휴무,일
2023-04-10,화학·석유,9357.7,18.8,조업,월
2023-04-11,화학·석유,9819.3,18.8,조업,화
2023-04-12,화학·석유,9630.9,19.8,조업,수
2023-04-13,화학·석유,9951.7,22.0,조업,목
2023-04-14,화학·석유,9519.6,17.4,조업,금
2023-04-15,화학·석유,3006.0,21.3,휴무,토
2023-04-16,화학·석유,2854.0,19.9,휴무,일
2023-04-17,화학·석유,9494.1,20.8,조업,월
2023-04-18,화학·석유,9470.0,14.4,조업,화
2023-04-19,화학·석유,9267.1,21.5,조업,수
2023-04-20,화학·석유,10706.3,18.9,조업,목
2023-04-21,화학·석유,9582.3,19.3,조업,금
2023-04-22,화학·석유,3020.0,20.8,휴무,토
2023-04-23,화학·석유,2858.5,18.9,휴무,일
2023-04-24,화학·석유,9534.8,20.2,조업,월
2023-04-25,화학·석유,9260.6,19.2,조업,화
2023-04-26,화학·석유,9951.7,21.8,조업,수
2023-04-27,화학·석유,9170.7,17.7,조업,목
2023-04-28,화학·석유,10060.9,19.4,조업,금
2023-04-29,화학·석유,2940.4,19.4,휴무,토
2023-04-30,화학·석유,2734.8,21.9,휴무,일
2023-05-01,화학·석유,9128.0,27.5,조업,월
2023-05-02,화학·석유,9237.2,29.9,조업,화
2023-05-03,화학·석유,8978.8,28.6,조업,수
2023-05-04,화학·석유,8715.7,25.3,조업,목
2023-05-05,화학·석유,9608.8,27.6,조업,금
2023-05-06,화학·석유,2794.6,30.5,휴무,토
2023-05-07,화학·석유,2793.3,26.1,휴무,일
2023-05-08,화학·석유,9407.3,25.2,조업,월
2023-05-09,화학·석유,8601.9,26.7,조업,화
2023-05-10,화학·석유,9286.2,28.9,조업,수
2023-05-11,화학·석유,9138.8,28.1,조업,목
2023-05-12,화학·석유,8784.4,24.8,조업,금
2023-05-13,화학·석유,2762.8,26.9,휴무,토
2023-05-14,화학·석유,2589.7,27.1,휴무,일
2023-05-15,화학·석유,9413.4,24.3,조업,월
2023-05-16,화학·석유,8879.1,30.8,조업,화
2023-05-17,화학·석유,8562.6,27.0,조업,수
2023-05-18,화학·석유,9664.1,27.7,조업,목
2023-05-19,화학·석유,8872.7,29.3,조업,금
2023-05-20,화학·석유,2884.3,24.0,휴무,토
2023-05-21,화학·석유,2753.7,27.8,휴무,일
2023-05-22,화학·석유,9106.6,25.2,조업,월
2023-05-23,화학·석유,9321.3,27.6,조업,화
2023-05-24,화학·석유,9170.4,26.4,조업,수
2023-05-25,화학·석유,9481.1,25.8,조업,목
2023-05-26,화학·석유,9087.2,32.5,조업,금
2023-05-27,화학·석유,2811.1,29.7,휴무,토
2023-05-28,화학·석유,2634.2,28.4,휴무,일
2023-05-29,화학·석유,8967.0,25.3,조업,월
2023-05-30,화학·석유,8602.8,28.7,조업,화
2023-05-31,화학·석유,9135.7,25.3,조업,수
2023-06-01,화학·석유,8481.9,34.5,조업,목
2023-06-02,화학·석유,9101.5,31.6,조업,금
2023-06-03,화학·석유,2620.4,32.0,휴무,토
2023-06-04,화학·석유,2619.0,33.3,휴무,일
2023-06-05,화학·석유,8714.1,32.1,조업,월
2023-06-06,화학·석유,8035.8,32.6,조업,화
2023-06-07,화학·석유,8477.9,32.1,조업,수
2023-06-08,화학·석유,8807.0,34.9,조업,목
2023-06-09,화학·석유,8408.9,32.0,조업,금
2023-06-10,화학·석유,2558.8,32.7,휴무,토
2023-06-11,화학·석유,2544.8,32.7,휴무,일
2023-06-12,화학·석유,8854.6,33.6,조업,월
2023-06-13,화학·석유,8869.1,33.2,조업,화
2023-06-14,화학·석유,8174.9,30.6,조업,수
2023-06-15,화학·석유,8400.3,33.6,조업,목
2023-06-16,화학·석유,8279.7,36.1,조업,금
2023-06-17,화학·석유,2593.2,34.5,휴무,토
2023-06-18,화학·석유,2462.3,32.2,휴무,일
2023-06-19,화학·석유,8513.7,32.2,조업,월
2023-06-20,화학·석유,8930.4,33.4,조업,화
2023-06-21,화학·석유,8443.6,33.6,조업,수
2023-06-22,화학·석유,8585.9,34.5,조업,목
2023-06-23,화학·석유,8597.2,31.9,조업,금
2023-06-24,화학·석유,2643.4,30.7,휴무,토
2023-06-25,화학·석유,2522.7,31.4,휴무,일
2023-06-26,화학·석유,8514.1,34.7,조업,월
2023-06-27,화학·석유,9653.9,33.2,조업,화
2023-06-28,화학·석유,8457.8,33.7,조업,수
2023-06-29,화학·석유,9228.0,35.1,조업,목
2023-06-30,화학·석유,8428.7,32.2,조업,금
2023-07-01,화학·석유,2362.6,35.9,휴무,토
2023-07-02,화학·석유,2420.8,36.3,휴무,일
2023-07-03,화학·석유,8228.8,37.0,조업,월
2023-07-04,화학·석유,8249.9,32.0,조업,화
2023-07-05,화학·석유,8259.9,32.2,조업,수
2023-07-06,화학·석유,8473.4,36.1,조업,목
2023-07-07,화학·석유,8076.2,36.3,조업,금
2023-07-08,화학·석유,2450.8,36.0,휴무,토
2023-07-09,화학·석유,2193.6,34.7,휴무,일
2023-07-10,화학·석유,8281.9,35.0,조업,월
2023-07-11,화학·석유,8617.7,32.7,조업,화
2023-07-12,화학·석유,8302.0,37.6,조업,수
2023-07-13,화학·석유,8375.5,36.4,조업,목
2023-07-14,화학·석유,7763.9,34.9,조업,금
2023-07-15,화학·석유,2534.7,31.6,휴무,토
2023-07-16,화학·석유,2529.1,34.9,휴무,일
2023-07-17,화학·석유,7672.1,35.9,조업,월
2023-07-18,화학·석유,7887.7,33.1,조업,화
2023-07-19,화학·석유,8516.5,32.6,조업,수
2023-07-20,화학·석유,8067.5,36.6,조업,목
2023-07-21,화학·석유,8034.8,35.3,조업,금
2023-07-22,화학·석유,2427.8,39.0,휴무,토
2023-07-23,화학·석유,2363.7,37.7,휴무,일
2023-07-24,화학·석유,7804.0,34.1,조업,월
2023-07-25,화학·석유,8404.0,37.0,조업,화
2023-07-26,화학·석유,8145.1,33.3,조업,수
2023-07-27,화학·석유,7877.6,33.7,조업,목
2023-07-28,화학·석유,8138.4,31.0,조업,금
2023-07-29,화학·석유,2488.3,35.4,휴무,토
2023-07-30,화학·석유,2480.9,35.2,휴무,일
2023-07-31,화학·석유,8190.1,31.8,조업,월
2023-08-01,화학·석유,8656.7,32.3,조업,화
2023-08-02,화학·석유,7985.6,33.3,조업,수
2023-08-03,화학·석유,8428.9,31.7,조업,목
2023-08-04,화학·석유,9299.6,29.4,조업,금
2023-08-05,화학·석유,2663.8,33.7,휴무,토
2023-08-06,화학·석유,2590.2,32.8,휴무,일
2023-08-07,화학·석유,9374.7,31.6,조업,월
2023-08-08,화학·석유,8519.2,35.5,조업,화
2023-08-09,화학·석유,8906.9,33.7,조업,수
2023-08-10,화학·석유,8511.1,31.9,조업,목
2023-08-11,화학·석유,8382.0,32.7,조업,금
2023-08-12,화학·석유,2683.0,29.8,휴무,토
2023-08-13,화학·석유,2542.6,35.8,휴무,일
2023-08-14,화학·석유,9157.0,32.5,조업,월
2023-08-15,화학·석유,8835.1,30.5,조업,화
2023-08-16,화학·석유,8969.6,35.1,조업,수
2023-08-17,화학·석유,9745.7,31.5,조업,목
2023-08-18,화학·석유,8362.7,33.1,조업,금
2023-08-19,화학·석유,2426.9,32.0,휴무,토
2023-08-20,화학·석유,2628.2,33.8,휴무,일
2023-08-21,화학·석유,8748.5,29.8,조업,월
2023-08-22,화학·석유,8444.8,32.5,조업,화
2023-08-23,화학·석유,8404.9,35.2,조업,수
2023-08-24,화학·석유,9001.1,35.7,조업,목
2023-08-25,화학·석유,9077.1,32.3,조업,금
2023-08-26,화학·석유,2424.9,32.4,휴무,토
2023-08-27,화학·석유,2359.7,29.9,휴무,일
2023-08-28,화학·석유,7848.7,30.3,조업,월
2023-08-29,화학·석유,8566.4,32.2,조업,화
2023-08-30,화학·석유,8746.0,32.4,조업,수
2023-08-31,화학·석유,7904.7,31.7,조업,목
2023-09-01,화학·석유,10179.2,28.0,조업,금
2023-09-02,화학·석유,2676.9,25.9,휴무,토
2023-09-03,화학·석유,2940.7,24.9,휴무,일
2023-09-04,화학·석유,10206.3,25.4,조업,월
2023-09-05,화학·석유,8899.1,27.8,조업,화
2023-09-06,화학·석유,9527.6,27.0,조업,수
2023-09-07,화학·석유,10122.4,29.9,조업,목
2023-09-08,화학·석유,8859.7,26.2,조업,금
2023-09-09,화학·석유,2795.6,30.3,휴무,토
2023-09-10,화학·석유,2854.9,27.1,휴무,일
2023-09-11,화학·석유,9675.2,28.0,조업,월
2023-09-12,화학·석유,8881.8,30.7,조업,화
2023-09-13,화학·석유,9035.4,27.4,조업,수
2023-09-14,화학·석유,9664.0,27.1,조업,목
2023-09-15,화학·석유,9241.2,24.3,조업,금
2023-09-16,화학·석유,3083.9,30.0,휴무,토
2023-09-17,화학·석유,2836.0,29.5,휴무,일
2023-09-18,화학·석유,9578.8,28.3,조업,월
2023-09-19,화학·석유,9459.7,25.7,조업,화
2023-09-20,화학·석유,10124.5,25.3,조업,수
2023-09-21,화학·석유,9332.1,26.2,조업,목
2023-09-22,화학·석유,10018.4,26.5,조업,금
2023-09-23,화학·석유,2708.4,28.2,휴무,토
2023-09-24,화학·석유,2830.5,27.0,휴무,일
2023-09-25,화학·석유,10009.0,25.5,조업,월
2023-09-26,화학·석유,10179.9,28.5,조업,화
2023-09-27,화학·석유,10006.7,29.1,조업,수
2023-09-28,화학·석유,9051.5,24.5,조업,목
2023-09-29,화학·석유,9617.4,30.5,조업,금
2023-09-30,화학·석유,2796.4,26.8,휴무,토
2023-10-01,화학·석유,3239.6,19.5,휴무,일
2023-10-02,화학·석유,11066.2,17.6,조업,월
2023-10-03,화학·석유,10006.2,19.9,조업,화
2023-10-04,화학·석유,10616.6,19.4,조업,수
2023-10-05,화학·석유,10034.2,22.5,조업,목
2023-10-06,화학·석유,10159.5,18.1,조업,금
2023-10-07,화학·석유,3350.3,17.9,휴무,토
2023-10-08,화학·석유,3137.3,20.3,휴무,일
2023-10-09,화학·석유,9627.9,20.8,조업,월
2023-10-10,화학·석유,10767.5,19.3,조업,화
2023-10-11,화학·석유,11055.1,18.2,조업,수
2023-10-12,화학·석유,10680.3,19.0,조업,목
2023-10-13,화학·석유,9745.1,22.2,조업,금
2023-10-14,화학·석유,3082.6,18.2,휴무,토
2023-10-15,화학·석유,3228.6,20.0,휴무,일
2023-10-16,화학·석유,9811.8,18.6,조업,월
2023-10-17,화학·석유,10352.1,20.5,조업,화
2023-10-18,화학·석유,11157.0,18.0,조업,수
